Nr okręgu;Mandaty;TD;NL;PiS;KONF;KO
1;12;10,75;9,51;34,8;6,33;33,78
2;8;12,13;7,98;33,34;6,02;37,17
3;14;13,74;11,35;26,66;6,98;36,94
4;12;15,06;9,92;30,45;6,42;35,01
5;13;15,68;11,25;34,06;6,37;29,52
6;15;15,87;5,72;45,48;8,38;20,32
7;12;13,04;5,62;50,75;7,79;17,4
8;12;15,07;9,27;27,76;6,51;37,73
9;10;11,89;12,22;26,82;5,57;41,07
10;9;13,73;6,39;46,6;7,62;21,69
11;12;14,5;7,73;41,46;6,82;25,89
12;8;14,97;6,04;42,86;7,88;24,24
13;14;16,86;11,04;30,68;7,71;30,73
14;10;11,58;3,18;53,73;8,73;16,1
15;9;18,64;4;48,67;7,99;17,02
16;10;17,07;6,52;44,11;6,52;22,4
17;9;13,98;5,34;48,68;7,31;20,96
18;12;15,51;4,85;48,62;8,21;18,71
19;20;13,25;13,45;20,14;7,24;43,23
20;12;15,06;7,06;31,74;7,06;35,23
21;12;12,74;7,24;31,26;6,49;33,59
22;11;13,79;4,47;54,7;8,62;15,85
23;15;12,42;4,87;51,6;9,48;17,7
24;14;18,86;4,84;42,39;9,79;20,84
25;12;14,7;9,41;25,2;6,23;41,7
26;14;13,59;8,33;29,24;7,21;37,91
27;9;14,55;7,77;36,71;7,84;28,67
28;7;14,72;9,41;36,35;6,56;29,11
29;9;13,34;9,21;30,16;6,95;36,06
30;9;12,45;6,84;38,06;8;29,98
31;12;13,27;8,46;30,88;6,7;36,79
32;9;9,85;21,6;29,74;5,69;30,3
33;16;13,8;6,83;47,07;6,55;20,93
34;8;15,4;8,11;35,2;6,54;31,87
35;10;16,11;8,09;32,33;6,93;33,07
36;12;16,16;8,52;35,85;6,98;28,58
37;9;16,63;9,48;38,69;6,97;23,99
38;9;17,66;7,84;29,11;6,87;34,87
39;10;16,54;12,31;19,57;5,9;44,09
40;8;12,35;8,72;31,36;6,02;38,69
41;12;12,62;9,39;28,79;5,94;40,13
